Datetime (UTC),Norway,Belgium,France,Germany,Netherlands,Ireland,Denmark
2022-11-05 00:00:00,30.70832883333333,131.84050936666665,138.8558118,121.88978773333334,128.5818446,,44.3982154
2022-11-05 01:00:00,30.4549742,119.58338693333332,121.4267603,110.4189383,119.12909586666667,,46.90555263333333
2022-11-05 02:00:00,26.85559113333333,114.1406305,114.1406305,114.1406305,114.1406305,,35.373548633333336
2022-11-05 03:00:00,27.405982233333333,114.1406305,114.1406305,114.1406305,114.1406305,,36.41317626666667
2022-11-05 04:00:00,32.01878383333333,117.94095,117.94095,117.94095,117.94095,,41.99571456666666
2022-11-05 05:00:00,26.112999966666667,125.13097976666666,128.77404466666667,118.8058503,123.53222466666666,,46.32021606666667
2022-11-05 06:00:00,29.12704646666667,124.23113399999998,124.23113399999998,116.35093126666666,124.23113399999998,,112.73407546666664
2022-11-05 07:00:00,32.63906586666666,124.77278873333331,124.77278873333331,158.12823666666665,124.77278873333331,,121.77621496666664
2022-11-05 08:00:00,35.2774486,126.10945283333332,126.10945283333332,126.10945283333332,126.10945283333332,,126.10945283333332
2022-11-05 09:00:00,38.40506786666666,119.79305973333334,119.79305973333334,143.90543173333333,119.79305973333334,,116.9187951
2022-11-05 10:00:00,38.300231466666666,112.174948,112.174948,143.58218616666665,112.174948,,99.9877165
2022-11-05 11:00:00,38.8418862,109.69381986666666,109.69381986666666,109.69381986666666,109.69381986666666,,84.1836292
2022-11-05 12:00:00,37.7673131,100.52063486666668,100.57305306666666,109.12595603333332,100.46821666666666,,77.50904506666666
2022-11-05 13:00:00,35.1988213,110.69850203333333,110.84702026666666,78.60109089999999,110.56745653333331,,95.77678776666666
2022-11-05 14:00:00,36.60537633333333,120.5880691,120.5880691,120.5880691,120.5880691,,120.5880691
2022-11-05 15:00:00,38.7370498,132.0152367,132.12880946666667,100.02266196666666,131.91913666666665,,131.91913666666665
2022-11-05 16:00:00,40.3882231,145.77501420000002,145.83616876666667,145.83616876666667,145.85364149999998,,145.83616876666667
2022-11-05 17:00:00,38.9729317,148.5182333333333,148.5182333333333,183.39380906666665,148.5182333333333,,134.46141936666666
2022-11-05 18:00:00,34.10677546666666,142.6561313,142.6561313,161.5441560333333,142.6561313,,42.41506016666666
2022-11-05 19:00:00,26.46245463333333,117.4429771,131.03676363333332,98.7034706,110.61987473333332,,29.86963763333333
2022-11-05 20:00:00,27.1788367,110.1568473,129.72630863333333,82.17426486666666,100.5643167,,30.86558343333333
2022-11-05 21:00:00,24.4006721,98.56368873333332,112.69913,79.74555493333332,92.22108653333332,,26.6284456
2022-11-05 22:00:00,21.9370167,84.917484,100.2235984,87.45976669999999,77.71871786666665,,23.649344566666667
2022-11-05 23:00:00,21.578825666666663,90.5524405,120.85889646666666,50.53988116666667,53.29183666666666,,22.76697153333333
2022-11-06 00:00:00,19.2908276,72.95789253333334,113.73823093333334,20.678092,34.5769108,,20.041171866666662
2022-11-06 01:00:00,19.6049252,68.01085533333334,96.7944104,57.86375786666666,42.81324786666666,,20.416344
2022-11-06 02:00:00,17.85993853333333,55.92682266666666,83.83788440000001,47.55088666666667,32.52655146666667,,18.313635066666667
2022-11-06 03:00:00,20.08479653333333,66.9551384,74.77267866666666,13.9511684,59.992641600000006,,20.957289866666667
2022-11-06 04:00:00,21.7774336,58.07315626666667,83.83788440000001,19.56130053333333,35.56282826666666,,22.946574666666667
2022-11-06 05:00:00,24.4210884,67.75783226666667,83.85533426666667,22.20495533333333,55.490576,,26.6197716
2022-11-06 06:00:00,24.36001386666667,61.60675426666667,89.02921973333333,47.071015333333335,39.2622,,26.419098133333332
2022-11-06 07:00:00,27.989586133333333,62.61012160000001,86.26341586666668,63.64838866666667,43.0837208,,30.458742266666665
2022-11-06 08:00:00,32.50037666666667,64.28530880000001,80.8016076,34.11448933333333,56.62481733333334,,35.4406792
2022-11-06 09:00:00,37.30781493333333,68.01085533333334,79.33581880000001,51.92207826666667,62.557772,,40.43134106666667
2022-11-06 10:00:00,35.87692586666667,67.86253146666667,82.22377173333334,10.1034728,67.86253146666667,,39.09642626666667
2022-11-06 11:00:00,36.9588176,80.66200866666667,80.356636,55.883198,107.054932,,40.4138912
2022-11-06 12:00:00,30.319143333333333,65.29740106666667,83.0264656,34.428586933333335,65.29740106666667,,33.4775692
2022-11-06 13:00:00,29.42920013333333,78.92574693333333,84.10835733333334,71.60552786666666,78.92574693333333,,32.3782276
2022-11-06 14:00:00,29.76947253333333,79.03917106666667,84.9634008,74.13575853333333,79.03917106666667,,32.80574933333334
2022-11-06 15:00:00,31.44465973333333,84.0472828,90.73058173333332,74.205558,84.0472828,,35.19638106666667
2022-11-06 16:00:00,39.410523866666665,112.04559386666666,116.98390613333336,102.6313908,139.59893333333332,,43.6857412
2022-11-06 17:00:00,39.32327453333333,114.68924866666666,135.76868760000002,121.451072,130.78675066666668,,43.5025176
2022-11-06 18:00:00,33.30307053333333,109.49791333333332,126.15381106666668,64.30275866666668,130.874,,36.3567972
2022-11-06 19:00:00,28.992953466666663,98.024626,101.75017253333334,85.6177708,107.054932,,31.2527112
2022-11-06 20:00:00,22.606302266666667,83.75936,92.92054,69.79074173333333,99.0454432,,23.688194
2022-11-06 21:00:00,22.80697573333333,85.26877346666667,107.49117866666668,24.072091066666665,85.26877346666667,,24.072091066666665
2022-11-06 22:00:00,17.057244666666666,60.14096546666667,75.55792266666666,82.31102106666667,60.14096546666667,,17.318992666666666
2022-11-06 23:00:00,13.331698133333331,0.0785244,124.722922,0.0785244,0.0785244,,3.472523466666667
2022-11-07 00:00:00,11.135853,0.0784214999999999,90.44613,0.0784214999999999,0.0784214999999999,,0.0784214999999999
2022-11-07 01:00:00,7.345480499999999,0.0784214999999999,89.92332,16.538223,0.0784214999999999,,0.0784214999999999
2022-11-07 02:00:00,6.657113999999999,0.261405,89.4440775,0.261405,0.261405,,0.261405
2022-11-07 03:00:00,11.188134,4.35675,87.9105015,4.35675,4.35675,,5.419796999999999
2022-11-07 04:00:00,17.5402755,7.9031445,91.5701715,-69.2636115,7.9031445,,11.0225775
2022-11-07 05:00:00,29.242506,47.331732,114.443109,25.913949,47.331732,,38.409108
2022-11-07 06:00:00,40.047246,86.71675199999999,134.4580185,101.2421565,86.71675199999999,,58.6331415
2022-11-07 07:00:00,43.2102465,110.922855,139.3550055,91.526604,115.628145,,51.3660825
2022-11-07 08:00:00,43.794051,127.39136999999998,127.39136999999998,73.54194,130.615365,,51.0001155
2022-11-07 09:00:00,43.0708305,90.44613,90.44613,90.8208105,126.781425,,50.6515755
2022-11-07 10:00:00,41.0318715,89.4440775,89.4440775,60.001161,121.901865,,47.4972885
2022-11-07 11:00:00,39.489582,87.41383199999999,87.41383199999999,61.39532099999999,114.75679499999998,,45.066222
2022-11-07 12:00:00,38.147703,85.113468,85.113468,73.49837249999999,126.781425,,43.4019435
2022-11-07 13:00:00,40.8401745,86.1503745,86.1503745,75.3107805,123.7317,,46.617225
2022-11-07 14:00:00,43.9421805,131.538996,132.1053735,88.825419,132.1053735,,50.3901705
2022-11-07 15:00:00,46.8350625,100.20525,100.20525,103.2462615,130.7025,,62.94632399999999
2022-11-07 16:00:00,48.1072335,135.5559195,144.034155,135.5559195,139.903956,,135.5559195
2022-11-07 17:00:00,43.35837599999999,139.4072865,146.07311399999998,136.3575615,137.1417765,,136.3575615
2022-11-07 18:00:00,40.012392,119.54922,142.4221575,122.1197025,118.2334815,,101.9566635
2022-11-07 19:00:00,38.9580585,90.2805735,130.30167899999998,95.9094945,109.180155,,47.9678175
2022-11-07 20:00:00,36.6054135,73.48094549999999,109.3805655,134.553867,73.48094549999999,,44.6915415
2022-11-07 21:00:00,37.014948,67.146231,90.2805735,67.146231,67.146231,,46.861203
2022-11-07 22:00:00,33.616682999999995,48.359925,88.87769999999999,47.366586,47.366586,,42.1994805
2022-11-07 23:00:00,30.84579,46.9047705,83.6757405,67.599333,37.154364,,37.154364
2022-11-08 00:00:00,23.941572,34.6191636,76.9013778,69.4742478,26.1784488,,26.1784488
2022-11-08 01:00:00,23.067792,33.7803348,74.93537280000001,53.4141714,24.203706,,24.203706
2022-11-08 02:00:00,21.9580914,30.1978368,69.6926928,44.781225,22.9017738,,22.9017738
2022-11-08 03:00:00,24.7891386,33.1075242,63.130605,39.363789,27.0522288,,27.0522288
2022-11-08 04:00:00,27.8473686,37.4589486,76.9013778,67.08009059999999,29.926965,,29.926965
