NationalGridBmUnit,carrier,bus,lon,lat,SSE-SP_side,SCOTEX_side,SSHARN_side,FLOWSTH_side,SEIMP_side
IEG-MOYL1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
IEG-VKL1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
IFD-ACCE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-ALEU1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-ALIP1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-ARON1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-BDEN1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-BKWE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-BNPS1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-BPGE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-CBST1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-CETL1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-CEZC1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-CGML1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-CNGS1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-CNRE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-CONS1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-CONV1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-COPN1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-DARE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-DMCC1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-DNGN1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-DSKC1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-DUEN1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-DUFE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-DVAL1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-ECCA1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-EDFT1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-EDMK1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-EGLE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-ELEE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-ELTR1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-ENEL1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-ENET1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-ENKI1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-ENSC1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-ENSP1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-ENTC1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-ENVM1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-EOET1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-EPCO1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-ERVA1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-EZCO1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-FPCD1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-GASE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-GAZP1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-GDFE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-GLEN1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-GRMT1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-HART1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-HELI1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-IBES1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-INCM1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-KCST1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-LTFD1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-MCRA1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-MFTE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-MQBN1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-NEAS1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-NEHO1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-NITR1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-NORL1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-NTPL1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-NVAL1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-OMPX1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-OPMX1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-OUTL1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-PLAN1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-PTRS1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-PWMR1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-QUAR1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-QUEN1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-RESP1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-RISQ1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-RWES1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-SETL1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-SSEG1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-STAT1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-TFEE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-TRFD1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-TRFG1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-TRLS1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-VOLT1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-VSAL1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-VTFS1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFD-XNON1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-ACCE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-ALEU1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-ALIP1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-ARON1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-BDEN1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-BKWE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-BNPS1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-BPGE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-CBST1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-CETL1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-CEZC1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-CGML1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-CNGS1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-CNRE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-CONS1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-CONV1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-COPN1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-DARE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-DMCC1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-DNGN1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-DSKC1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-DUEN1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-DUFE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-DVAL1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-ECCA1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-EDFT1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-EDMK1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-EGLE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-ELEE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-ELTR1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-ENEL1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-ENET1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-ENKI1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-ENSC1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-ENSP1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-ENTC1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-ENVM1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-EOET1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-EPCO1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-ERVA1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-EZCO1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-FPCD1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-GASE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-GAZP1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-GDFE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-GLEN1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-GRMT1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-HART1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-HELI1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-IBES1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-INCM1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-KCST1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-LTFD1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-MCRA1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-MFTE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-MQBN1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-NEAS1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-NEHO1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-NITR1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-NORL1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-NTPL1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-NVAL1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-OMPX1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-OPMX1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-OUTL1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-PLAN1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-PTRS1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-PWMR1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-QUAR1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-QUEN1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-RESP1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-RISQ1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-RWES1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-SETL1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-SSEG1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-STAT1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-TFEE1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-TRFD1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-TRFG1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-TRLS1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-VOLT1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-VSAL1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-VTFS1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
IFG-XNON1,interconnector,4977,0.9734000000000004,51.105,south,south,south,south,south
ILD-ARON1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-BKWE1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-BPGM1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-CBST1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-CENT1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-CETL1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-CEZC1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-CONS1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-COPN1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-DARE1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-DMCC1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-DSKC1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-DUEN1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-DUFE1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-DVAL1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-EDFT1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-EDMK1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-ELTR1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-ENGM1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-ENSC1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-ENTC1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-EPCO1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-GLEN1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-HART1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-INCM1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-MCRA1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-MFTE1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-NEAS1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-NEHO1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-NITR1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-NORL1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-NTPL1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-NWAT1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-OPMX1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-OUTL1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-PREP1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-PWMR1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-QUAR1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-RESP1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-RISQ1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-RWES1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-SEFE1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-SETL1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-TGPL1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-TRFD1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-TRFG1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-TRLS1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-VOLT1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-VSAL1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-VTFS1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILD-XNON1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-ARON1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-BKWE1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-BPGM1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-CBST1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-CENT1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-CETL1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-CEZC1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-CONS1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-COPN1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-DARE1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-DMCC1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-DSKC1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-DUEN1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-DUFE1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-DVAL1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-EDFT1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-EDMK1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-ELTR1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-ENGM1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-ENSC1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-ENTC1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-EPCO1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-EZCO1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-GLEN1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-HART1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-HELI1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-INCM1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-MCRA1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-MFTE1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-NEAS1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-NEHO1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-NITR1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-NORL1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-NTPL1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-NWAT1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-OPMX1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-OUTL1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-PREP1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-PWMR1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-QUAR1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-RESP1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-RISQ1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-RWES1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-SEFE1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-SETL1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-TGPL1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-TRFD1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-TRFG1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-TRLS1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-VOLT1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-VSAL1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-VTFS1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ILG-XNON1,interconnector,5269,-0.0017444444444444,51.59477777777778,south,south,south,south,north
ING-ALIP1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-ALPE1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-ARON1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-AXPO1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-BDEN1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-BKWE1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-BPGM1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-CBST1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-CENT1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-CEZC1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-CNGS1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-CONS1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-CONV1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-COPN1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-DARE1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-DMCC1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-DSKC1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-DUFE1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-DVAL1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-EDFT1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-EDMK1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-ELEE1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-ELTR1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-ENET1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-ENTC1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-EPCO1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-GASE1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-GAZP1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-GLEN1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-HELI1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-IDCE1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-INCM1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-KCST1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-LMUS1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-MCRA1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-MFTE1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-NEAS1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-NEHO1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-NEMO1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-NITR1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-NORL1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-NTPL1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-OMPX1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-OPMX1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-OUTL1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-PWMR1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-QUEN1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-RESP1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-RISQ1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-RWES1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
ING-SETL1,interconnector,4955,0.8645384615384615,51.808076923076925,south,south,south,south,north
